Rank,Year,Title,Artist,Spotify_ID
1,2013,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,6CjtS2JZH9RkDz5UVInsa9
2,2013,Blurred Lines,Robin ThickeFeaturing T.I. + Pharrell,
3,2013,Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp
4,2013,Harlem Shake,Baauer,01XFgRZfZI7oBagNf1Loml
5,2013,Can't Hold Us,Macklemore & Ryan Lewis FeaturingRay Dalton,22skzmqfdWrjJylampe0kt
6,2013,Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV
7,2013,Just Give Me A Reason,P!nk Featuring Nate Ruess,1mKXFLRA179hdOWQBwUk9e
8,2013,When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh
9,2013,Cruise,Florida Georgia LineFeaturingNelly,
10,2013,Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI
11,2013,Locked Out Of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh
12,2013,Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb
13,2013,Stay,RihannaFeaturing Mikky Ekko,
14,2013,Get Lucky,Daft PunkFeaturingPharrell Williams,
15,2013,Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3
16,2013,I Knew You Were Trouble.,Taylor Swift,6FB3v4YcR57y4tXFcdxI1E
17,2013,We Can't Stop,Miley Cyrus,2y4lAQpi5VTNLu2ldeTdUH
18,2013,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
19,2013,Wake Me Up!,Avicii,0nrRP2bk19rLc0orkWPQk2
20,2013,Suit & Tie,Justin TimberlakeFeaturing JAY Z,
21,2013,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,6mH3qVIeOsnQIAho5eWwhH
22,2013,Holy Grail,Jay Z FeaturingJustin Timberlake,
23,2013,Scream & Shout,will.i.am&Britney Spears,2iJuuzV8P9Yz0VSurttIV5
24,2013,Clarity,ZeddFeaturingFoxes,
25,2013,Sail,AWOLNATION,7ueP5u2qkdZbIPN2YA6LR0
26,2013,Don't You Worry Child,Swedish House MafiaFeaturingJohn Martin,
27,2013,Diamonds,Rihanna,1z9kQ14XBSN0r2v6fx4IdG
28,2013,I Love It,Icona PopFeaturingCharli xcx,
29,2013,Safe And Sound,Capital Cities,5JVbvCHX10U2pLa5DEqGav
30,2013,Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7
31,2013,The Way,Ariana GrandeFeaturingMac Miller,
32,2013,Started From The Bottom,Drake,5DI9jxTHrEiFAhStG7VA8E
33,2013,Come & Get It,Selena Gomez,6LoQHIo74tOzQ8EsLEkhgF
34,2013,"Hold On, We're Going Home",DrakeFeaturingMajid Jordan,
35,2013,Daylight,Maroon 5,6TwfdLbaxTKzQi3AgsZNzx
36,2013,Feel This Moment,PitbullFeaturingChristina Aguilera,
37,2013,Applause,Lady Gaga,5ka2ajep9OAvU5Sgduhiex
38,2013,One More Night,Maroon 5,4XNrMwGx1SqP01sqkGTDmo
39,2013,Love Me,Lil WayneFeaturingDrake&Future,
40,2013,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2E43WFS4rRc09za2r2GmZl
41,2013,F**kin Problems,"A$AP RockyFeaturingDrake,2 Chainz&Kendrick Lamar",
42,2013,Beauty And A Beat,Justin BieberFeaturingNicki Minaj,
43,2013,Same Love,Macklemore & Ryan Lewis FeaturingMary Lambert,01uqI4H13Gsd8Lyl1EYd8H
44,2013,Sweet Nothing,Calvin HarrisFeaturing Florence Welch,
45,2013,Summertime Sadness,Lana Del Reyvs.Cedric Gervais,
46,2013,Home,Phillip Phillips,1EAgPzRbK9YmdOESSMUm6P
47,2013,It's Time,Imagine Dragons,6BtmXhTJMM9sBTHeYYASGz
48,2013,Power Trip,J. ColeFeaturingMiguel,
49,2013,Girl On Fire,Alicia KeysFeaturingNicki Minaj,
